id,cpu_request,mem_request,inter_arrival_us,life_time_us
instance_7620,12.0,120.0,22000000,10790000000
instance_7621,12.0,120.0,0,3935000000
instance_7624,96.0,480.0,1795000000,331446000000
instance_7625,192.0,960.0,104000000,442583000000
instance_7626,64.0,320.0,226000000,43917000000
instance_7627,64.0,320.0,330000000,21289000000
instance_7628,64.0,320.0,0,26856000000
instance_7629,64.0,320.0,570000000,48547000000
instance_7630,12.0,120.0,369000000,7396000000
instance_7631,64.0,320.0,591000000,75281000000
instance_7632,8.0,40.0,1000000000,448354000000
instance_7633,8.0,40.0,2000000,897558000000
instance_7638,48.0,240.0,293000000,35157000000
instance_7635,48.0,240.0,1000000,47272000000
instance_7637,48.0,240.0,2000000,6963000000
instance_7639,96.0,480.0,135000000,89908000000
instance_7641,64.0,320.0,1001000000,45574000000
instance_7642,48.0,240.0,752000000,1444777000000
instance_7643,192.0,960.0,330000000,451200000000
instance_7644,8.0,40.0,37000000,3598000000
instance_7645,64.0,320.0,1193000000,15008000000
instance_7646,12.0,120.0,1484000000,32327000000
instance_7647,48.0,240.0,1339000000,251000000
instance_7648,64.0,320.0,127000000,77465000000
instance_7650,48.0,200.0,86000000,89777000000
instance_7652,48.0,240.0,243000000,291170000000
instance_7653,8.0,40.0,2507000000,1863000000
instance_7654,64.0,320.0,904000000,4259000000
instance_7656,192.0,960.0,841000000,3880000000
instance_7658,192.0,960.0,2877000000,1065628000000
instance_7659,64.0,320.0,29000000,3042000000
instance_7660,96.0,480.0,649000000,11646000000
instance_7661,64.0,320.0,1757000000,10154000000
instance_7662,64.0,256.0,434000000,78259000000
instance_7663,64.0,320.0,46000000,1685000000
instance_7664,96.0,480.0,1060000000,51672000000
instance_7665,64.0,320.0,117000000,35467000000
instance_7666,64.0,320.0,29000000,48567000000
instance_7667,64.0,320.0,31000000,50912000000
instance_7668,64.0,320.0,0,97972000000
instance_7669,64.0,320.0,29000000,24333000000
instance_7670,64.0,320.0,480000000,52069999999
instance_7671,12.0,120.0,122000000,838000000
instance_7672,48.0,240.0,969000000,41039999999
instance_7673,48.0,240.0,0,70234999999
instance_7674,64.0,320.0,409000000,47699999999
instance_7675,64.0,320.0,1743000000,17803999999
instance_7676,64.0,320.0,1828000000,50262999999
instance_7677,192.0,937.5,242000000,84644999999
instance_7678,96.0,480.0,869000000,36264999999
instance_7679,12.0,120.0,737000000,2737000000
instance_7680,12.0,120.0,0,11831999999
instance_7681,64.0,320.0,345000000,48101999999
instance_7682,64.0,320.0,388000000,4522000000
instance_7683,96.0,600.0,1000000,129000000
instance_7684,192.0,960.0,422000000,536661000000
instance_7685,64.0,320.0,408000000,1912000000
instance_7686,48.0,240.0,4000000,2180333000000
instance_7687,64.0,320.0,1118000000,93709999999
instance_7688,12.0,120.0,416000000,518000000
instance_7689,12.0,120.0,309000000,2709000000
instance_7690,12.0,120.0,0,2709000000
instance_7691,64.0,320.0,397000000,60423999999
instance_7692,48.0,240.0,574000000,948000000
instance_7693,48.0,200.0,0,60236999999
instance_7694,48.0,200.0,0,66431999999
instance_7695,48.0,240.0,0,268142000000
instance_7696,48.0,200.0,0,1037758000000
instance_7697,96.0,480.0,0,9932999999
instance_7700,64.0,320.0,0,39850999999
instance_7701,64.0,320.0,0,44244999999
instance_7698,96.0,480.0,1000000,11537999999
instance_7699,64.0,320.0,0,36219999999
instance_7702,64.0,320.0,0,83280999999
instance_7703,64.0,320.0,0,668925000000
instance_7704,64.0,320.0,0,8765999999
instance_7706,64.0,320.0,779000000,11447999999
instance_7708,96.0,480.0,179000000,8393999999
instance_7709,64.0,320.0,0,25749999999
instance_7707,48.0,240.0,1502000000,128999999
instance_7711,64.0,320.0,238999999,7192000000
instance_7712,64.0,320.0,0,7197000000
instance_7713,64.0,320.0,0,25076000000
instance_7714,96.0,480.0,2000000,6545000000
instance_7710,48.0,200.0,180000000,902506000000
instance_7715,96.0,480.0,1025000000,1315319000000
instance_7716,48.0,240.0,85000000,50877000000
instance_7717,96.0,600.0,1500000000,2738000000
instance_7718,12.0,120.0,398000000,9319000000
instance_7719,12.0,120.0,0,14296000000
instance_7723,48.0,240.0,2166000000,126000000
instance_7724,64.0,320.0,0,74833000000
instance_7728,48.0,200.0,0,378001000000
instance_7730,64.0,320.0,0,478123000000
instance_7731,96.0,480.0,0,1723504000000
instance_7733,48.0,300.0,0,12467000000
instance_7735,64.0,320.0,0,31870000000
instance_7739,64.0,320.0,0,365215000000
instance_7740,64.0,320.0,0,462930000000
instance_7741,48.0,200.0,0,127000000
instance_7747,64.0,320.0,0,167264000000
instance_7727,96.0,480.0,1000000,359494000000
instance_7734,48.0,400.0,0,16636000000
instance_7736,48.0,240.0,0,77241000000
instance_7737,96.0,480.0,0,172997000000
instance_7738,96.0,480.0,0,269767000000
instance_7726,48.0,240.0,391000000,253704000000
instance_7729,48.0,200.0,0,477311000000
