util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean
105.0,4,16,4,2,1,nodes4_pods16_prio2_util105_timeout01,100,100,0,0.0000,100,1.0000,4,0.0400,39,0.3900,46,0.4600,11,0.1100,57,0.5700,0,0.0000,101314.0,1013.14,4.448,4.509,0.0445,0.0451
105.0,4,16,4,2,10,nodes4_pods16_prio2_util105_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,43,0.4300,57,0.5700,0,0.0000,57,0.5700,0,0.0000,121163.0,1211.63,4.522,4.535,0.0452,0.0454
105.0,4,16,4,2,20,nodes4_pods16_prio2_util105_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,43,0.4300,57,0.5700,0,0.0000,57,0.5700,0,0.0000,115638.0,1156.38,4.512,4.393,0.0451,0.0439
105.0,4,16,4,4,1,nodes4_pods16_prio4_util105_timeout01,100,100,0,0.0000,100,1.0000,2,0.0200,64,0.6400,33,0.3300,1,0.0100,34,0.3400,0,0.0000,91400.0,914.0,2.157,1.684,0.0216,0.0168
105.0,4,16,4,4,10,nodes4_pods16_prio4_util105_timeout10,100,100,0,0.0000,100,1.0000,2,0.0200,63,0.6300,35,0.3500,0,0.0000,35,0.3500,0,0.0000,88363.0,883.63,2.087,1.754,0.0209,0.0175
105.0,4,16,4,4,20,nodes4_pods16_prio4_util105_timeout20,100,100,0,0.0000,100,1.0000,2,0.0200,63,0.6300,35,0.3500,0,0.0000,35,0.3500,0,0.0000,89292.0,892.92,2.143,1.527,0.0214,0.0153
105.0,4,32,8,1,1,nodes4_pods32_prio1_util105_timeout01,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,53,0.5300,46,0.4600,99,0.9900,0,0.0000,135398.0,1353.98,4.73,4.763,0.0473,0.0476
105.0,4,32,8,1,10,nodes4_pods32_prio1_util105_timeout10,100,100,0,0.0000,100,1.0000,2,0.0200,0,0.0000,70,0.7000,28,0.2800,98,0.9800,0,0.0000,362093.0,3620.93,4.912,5.114,0.0491,0.0511
105.0,4,32,8,1,20,nodes4_pods32_prio1_util105_timeout20,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,73,0.7300,26,0.2600,99,0.9900,0,0.0000,570800.0,5708.0,4.974,5.217,0.0497,0.0522
105.0,4,32,8,2,1,nodes4_pods32_prio2_util105_timeout01,100,100,0,0.0000,100,1.0000,1,0.0100,8,0.0800,58,0.5800,33,0.3300,91,0.9100,0,0.0000,132034.0,1320.34,3.787,3.395,0.0379,0.0339
105.0,4,32,8,2,10,nodes4_pods32_prio2_util105_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,10,0.1000,87,0.8700,3,0.0300,90,0.9000,0,0.0000,214948.0,2149.48,3.582,3.335,0.0358,0.0333
105.0,4,32,8,2,20,nodes4_pods32_prio2_util105_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,10,0.1000,89,0.8900,1,0.0100,90,0.9000,0,0.0000,212793.0,2127.93,3.69,3.251,0.0369,0.0325
105.0,4,32,8,4,1,nodes4_pods32_prio4_util105_timeout01,100,100,0,0.0000,100,1.0000,1,0.0100,34,0.3400,59,0.5900,6,0.0600,65,0.6500,0,0.0000,109721.0,1097.21,2.448,2.43,0.0245,0.0243
105.0,4,32,8,4,10,nodes4_pods32_prio4_util105_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,38,0.3800,62,0.6200,0,0.0000,62,0.6200,0,0.0000,124960.0,1249.6,2.473,2.362,0.0247,0.0236
